Phase=          2 , Time=                 356 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 357 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 358 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 359 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 360 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 361 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 362 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 363 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 364 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 365 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 366 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 367 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 368 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 369 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 370 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 371 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 372 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 373 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 374 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
Phase=          2 , Time=                 375 , Destination=0 , Source=0000000000000011 , Packet Value=0100000000000000000000000000001100000000000000000000000000000010
